d,title,intro,poster,pubdate,url,rating,press,star,comment,tags,star_time,author
1177644550,有些事现在不做，一辈子都不会做了,一锅鸡杂汤，随便在街边喝一口就行了。,https://img9.doubanio.com/view/subject/l/public/s10316215.jpg,2010-1,https://book.douban.com/subject/4260576/,7.3,北方妇女儿童出版社,3.5,一锅鸡杂汤，随便在街边喝一口就行了。,,2017-04-13 23:54:14,
1176288882,人民的名义,着实没有多少时间去追剧，就花了半个晚上把书看了。挺好，小说有些方面的表现力比电视剧更强，更有力度！加上作者的自我叙述，给我对于官场纪实留下了很深刻的影响。从我做起，宣传，杜绝！,https://img9.doubanio.com/view/subject/l/public/s29420424.jpg,2017-1,https://book.douban.com/subject/26952485/,7.3,北京十月文艺出版社,3.5,着实没有多少时间去追剧，就花了半个晚上把书看了。挺好，小说有些方面的表现力比电视剧更强，更有力度！加上作者的自我叙述，给我对于官场纪实留下了很深刻的影响。从我做起，宣传，杜绝！,,2017-04-10 14:22:39,
1174452719,呼兰河传,小人物的辛酸，小角色的悲伤，在那样一个背景下，越单纯越能明白事情的真谛，而成人都被所生活的社会所迷惑。,https://img3.doubanio.com/view/subject/l/public/s24405567.jpg,2008-9-1,https://book.douban.com/subject/3265177/,8.8,中国青年出版社,4.5,小人物的辛酸，小角色的悲伤，在那样一个背景下，越单纯越能明白事情的真谛，而成人都被所生活的社会所迷惑。,,2017-04-06 14:15:51,
1171121101,新参者,“当然在调查啊，但刑警的工作不止这些。有人会因案件而留下心灵创伤，他们也是受害者。刑警的职责就是寻找能够拯救受害者的线索。”,https://img1.doubanio.com/view/subject/l/public/s28363320.jpg,2016-1,https://book.douban.com/subject/26639966/,8.2,南海出版公司,4.0,“当然在调查啊，但刑警的工作不止这些。有人会因案件而留下心灵创伤，他们也是受害者。刑警的职责就是寻找能够拯救受害者的线索。”,,2017-03-30 01:22:34,
1170119031,许三观卖血记,看完之后，晚上去了饭馆点了一份烧猪肝。猪肝我不怎么爱吃，主要是因为我不太喜欢这种充满颗粒的口感，但是闻起来的确很香。现在想要这一口猪肝实在太容易了，可是父亲在想要吃上这一口的话，又懒得没理由的去下一趟馆子，等到吃上一口又会想起你，这一口也没有什么滋味了吧。可是我却没有这些负担，想吃了就美美的吃上一口，唉...,https://img2.doubanio.com/view/subject/l/public/s1074291.jpg,1998-9,https://book.douban.com/subject/1029791/,8.9,南海出版公司,4.5,看完之后，晚上去了饭馆点了一份烧猪肝。猪肝我不怎么爱吃，主要是因为我不太喜欢这种充满颗粒的口感，但是闻起来的确很香。现在想要这一口猪肝实在太容易了，可是父亲在想要吃上这一口的话，又懒得没理由的去下一趟馆子，等到吃上一口又会想起你，这一口也没有什么滋味了吧。可是我却没有这些负担，想吃了就美美的吃上一口，唉...,,2017-03-27 15:27:29,
1170116241,女法医手记之破窗,故事性更强，专业性较低（相比于秦明的分析流，并不是医学专业，也不是很了解），还是希望这个世界充满爱！,https://img9.doubanio.com/view/subject/l/public/s28376995.jpg,2015-9,https://book.douban.com/subject/26701849/,6.7,广东旅游出版社,3.5,故事性更强，专业性较低（相比于秦明的分析流，并不是医学专业，也不是很了解），还是希望这个世界充满爱！,,2017-03-27 15:19:19,
1168230967,无声的证词,对于人体解剖学充满好奇的我...,https://img3.doubanio.com/view/subject/l/public/s26537117.jpg,2013-5,https://book.douban.com/subject/24531011/,7.5,漓江出版社,4.0,对于人体解剖学充满好奇的我...,,2017-03-23 09:20:47,
1167039233,盗墓笔记,文化一瞥,https://img1.doubanio.com/view/subject/l/public/s10412319.jpg,2011-12-1,https://book.douban.com/subject/6953273/,8.5,上海文化出版社,4.5,文化一瞥,,2017-03-20 09:28:34,
1167035264,盗墓笔记2,老子来西安就是为了秦岭,https://img1.doubanio.com/view/subject/l/public/s34564228.jpg,2007-4,https://book.douban.com/subject/2057285/,8.2,中国友谊出版公司,4.0,老子来西安就是为了秦岭,,2017-03-20 09:15:01,
1166124868,九州·缥缈录VI·豹魂,九州之后，再无缥缈,https://img9.doubanio.com/view/subject/l/public/s3880475.jpg,2009-7,https://book.douban.com/subject/3854066/,8.6,新世界出版社,4.5,九州之后，再无缥缈,,2017-03-18 11:18:27,
1165739133,九州·缥缈录V·一生之盟,铁血勇士,https://img3.doubanio.com/view/subject/l/public/s3879732.jpg,2009-7,https://book.douban.com/subject/3851790/,8.9,新世界出版社,4.5,铁血勇士,,2017-03-17 11:58:02,
1164262453,九州·缥缈录Ⅳ·辰月之征,,https://img3.doubanio.com/view/subject/l/public/s2781187.jpg,2007-10,https://book.douban.com/subject/2286313/,8.6,新世界出版社,4.5,,,2017-03-13 15:36:47,
1163583581,九州·缥缈录Ⅲ·天下名将,,https://img3.doubanio.com/view/subject/l/public/s2698647.jpg,2007-9,https://book.douban.com/subject/2253753/,8.7,新世界出版社,4.5,,,2017-03-12 03:00:59,
1159777185,九州·缥缈录Ⅱ·苍云古齿,,https://img9.doubanio.com/view/subject/l/public/s1472285.jpg,2005-9,https://book.douban.com/subject/1431779/,8.9,新世界出版社,4.5,,,2017-03-03 14:59:04,
1159605165,九州·缥缈录,,https://img1.doubanio.com/view/subject/l/public/s1520169.jpg,2005-6,https://book.douban.com/subject/1321017/,8.8,新世界出版社,4.5,,,2017-03-03 00:41:16,
1156733065,乡谣,四个不同的女子，展现了近代女子形形色色的不同命运。一个男人，代表了中国底层农民对于世事变化的所有看法。一个小村庄，见证了从建国之前到改革开发的所有进程。所有未曾得到的都是自己的一己之私，所有的得到的，都是你自己的真心付出。,https://img9.doubanio.com/view/subject/l/public/s7649955.jpg,2011-10,https://book.douban.com/subject/6957939/,7.9,解放军文艺出版社,4.0,四个不同的女子，展现了近代女子形形色色的不同命运。一个男人，代表了中国底层农民对于世事变化的所有看法。一个小村庄，见证了从建国之前到改革开发的所有进程。所有未曾得到的都是自己的一己之私，所有的得到的，都是你自己的真心付出。,,2017-02-24 14:52:57,
