d,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
2352832363,卡罗尔与星期二,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2545649085.jpg,2019-04-11(日本),https://movie.douban.com/subject/30163813/,8.5,"科幻,动画,音乐",4.5,,,2020-04-21 15:10:21,2019 / 日本 / 科幻 动画 音乐 / 渡边信一郎 堀元宣 野亦则行 村田尚树 飞田刚 高藤聪 三宅将平 由井翠 宫泽良太 / 岛袋美由利 市之濑加那
2338564111,去他*的世界 第一季,这个世界操蛋的地方在于每次你觉得这是你的幸运的时候他总是给你一个大耳巴子，fuck,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2507719850.jpg,2017-10-24(英国),https://movie.douban.com/subject/27031389/,9.1,"剧情,喜剧,悬疑",4.5,这个世界操蛋的地方在于每次你觉得这是你的幸运的时候他总是给你一个大耳巴子，fuck,,2020-04-12 13:18:21,2017 / 英国 / 剧情 喜剧 悬疑 犯罪 / 乔纳森·恩特威斯尔 露西·彻尼亚克 / 杰西卡·巴登 埃里克斯·劳瑟
2317709198,贫民窟的百万富翁,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2434249040.jpg,2009-03-26(中国大陆),https://movie.douban.com/subject/2209573/,8.6,"剧情,爱情",4.5,,,2020-03-31 16:31:20,2008 / 英国 / 剧情 爱情 / 丹尼·博伊尔 洛芙琳·坦丹 / 戴夫·帕特尔 沙鲁巴·舒克拉
2315846744,饥饿站台,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2566870171.jpg,2019-09-06(多伦多电影节),https://movie.douban.com/subject/34805219/,7.9,"科幻,惊悚",4.0,,,2020-03-30 13:42:22,2019 / 西班牙 / 科幻 惊悚 / 加尔德·加兹特鲁·乌鲁蒂亚 / 伊万·马萨格 佐伦·伊格
2310689850,替身,看完小说觉得差了好多,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2186885848.jpg,2012-01-09(日本),https://movie.douban.com/subject/5392222/,7.9,"动画,恐怖",4.0,看完小说觉得差了好多,,2020-03-27 17:15:33,2012 / 日本 / 动画 恐怖 / 水岛努 筱原俊哉 日色如夏 安斋刚文 岩崎太郎 仓川英扬 畑博之 柿本广大 / 高森奈津美 阿部敦
2308275159,星之声,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2521698179.jpg,2002-02-02(日本),https://movie.douban.com/subject/1463872/,8.1,"爱情,科幻,动画",4.0,,,2020-03-26 10:55:01,2002 / 日本 / 爱情 科幻 动画 短片 / 新海诚 / 筱原美香 新海诚
2300100319,地狱男爵2：黄金军团,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p456610958.jpg,2008-11-21(中国大陆),https://movie.douban.com/subject/1873750/,6.9,"动作,奇幻,冒险",3.5,,,2020-03-21 22:31:43,2008 / 美国 / 动作 奇幻 冒险 / 吉尔莫·德尔·托罗 / 朗·普尔曼 塞尔玛·布莱尔
2300100182,地狱男爵,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2193565611.jpg,2004-04-02(美国),https://movie.douban.com/subject/1308851/,7.0,"动作,奇幻,冒险",3.5,,,2020-03-21 22:31:40,2004 / 美国 / 动作 奇幻 冒险 / 吉尔莫·德尔·托罗 / 朗·普尔曼 约翰·赫特
2300099510,地狱男爵：血皇后崛起,爽就完事了,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2623581295.jpg,2020-11-09(中国大陆),https://movie.douban.com/subject/24750460/,5.7,"动作,奇幻,冒险",3.0,爽就完事了,,2020-03-21 22:31:27,2019 / 美国 / 动作 奇幻 冒险 / 尼尔·马歇尔 / 大卫·哈伯 米拉·乔沃维奇
2288679773,大内密探零零发,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2455844666.jpg,1996-02-16(中国香港),https://movie.douban.com/subject/1329936/,8.0,"喜剧,动作,爱情",4.0,,,2020-03-15 23:19:34,1996 / 中国香港 / 喜剧 动作 爱情 古装 / 谷德昭 周星驰 / 周星驰 刘嘉玲
2288676075,少林足球,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2507107765.jpg,2001-07-12(中国香港),https://movie.douban.com/subject/1297747/,8.1,"喜剧,动作,运动",4.0,,,2020-03-15 23:18:21,2001 / 中国香港 / 喜剧 动作 运动 / 周星驰 / 周星驰 吴孟达
2288435485,国产凌凌漆,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2585823759.jpg,1994-10-13(中国香港),https://movie.douban.com/subject/1307739/,8.4,"喜剧,动作",4.0,,,2020-03-15 21:54:05,1994 / 中国香港 / 喜剧 动作 / 李力持 周星驰 / 周星驰 袁咏仪
2288433853,长江七号,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2097947361.jpg,2008-01-30(中国大陆),https://movie.douban.com/subject/1961963/,7.2,"喜剧,科幻",3.5,,,2020-03-15 21:53:30,2008 / 中国大陆 中国香港 / 喜剧 科幻 / 周星驰 / 周星驰 徐娇
2288432870,西虹市首富,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2529206747.jpg,2018-07-27(中国大陆),https://movie.douban.com/subject/27605698/,6.6,喜剧,3.5,,,2020-03-15 21:53:09,2018 / 中国大陆 / 喜剧 / 闫非 彭大魔 / 沈腾 宋芸桦
2288139086,王国 第二季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2587671506.jpg,2020-03-13(韩国),https://movie.douban.com/subject/30306401/,8.3,"剧情,恐怖,古装",4.0,,,2020-03-15 19:47:20,2020 / 韩国 / 剧情 恐怖 古装 / 金成勋 朴仁载 / 朱智勋 裴斗娜
2242176539,比宇宙更遥远的地方,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2478998997.jpg,2018-01-02(日本),https://movie.douban.com/subject/27080661/,9.2,动画,4.5,,,2020-02-27 18:11:36,2018 / 日本 / 动画 / 石塚敦子 泽井幸次 长滨亘彦 北川朋哉 / 水濑祈 花泽香菜
2234380271,危险关系,都是漂亮姐姐,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1751307799.jpg,2012-09-27(中国大陆),https://movie.douban.com/subject/6527269/,5.9,"剧情,爱情",3.0,都是漂亮姐姐,,2020-02-24 18:38:55,2012 / 中国大陆 韩国 新加坡 / 剧情 爱情 / 许秦豪 / 章子怡 张东健
2231920386,127小时,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p839469694.jpg,2010-11-05(美国),https://movie.douban.com/subject/4164444/,8.1,"剧情,传记,冒险",4.0,,,2020-02-23 21:00:53,2010 / 美国 英国 / 剧情 传记 冒险 / 丹尼·博伊尔 / 詹姆斯·弗兰科 丽兹·卡潘
2231915087,徒手攀岩,我唯一无法忘记的，就是那些我觉得重要的东西。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2566598269.jpg,2019-09-06(中国大陆),https://movie.douban.com/subject/30167509/,8.8,纪录片,4.5,我唯一无法忘记的，就是那些我觉得重要的东西。,,2020-02-23 20:59:21,2018 / 美国 / 纪录片 / 伊丽莎白·柴·瓦沙瑞莉 金国威 / 亚历克斯·霍诺德 汤米·考德威尔
2228970772,决战中途岛,大海铭记不朽。战舰与战机永不磨灭的灵魂,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2569743136.jpg,2019-11-08(中国大陆),https://movie.douban.com/subject/26786669/,7.5,"剧情,历史,战争",4.0,大海铭记不朽。战舰与战机永不磨灭的灵魂,,2020-02-22 22:27:41,2019 / 中国大陆 中国香港 加拿大 美国 / 剧情 历史 战争 / 罗兰·艾默里奇 / 艾德·斯克林 帕特里克·威尔森
